Section;Origine;Variable;2019;2020;2021;2022;Unité
Vin blanc;Italie;Stocks début année;31137;30597;34921;32084;hl
Vin blanc;Italie;Importations;132926;129440;119683;119288;hl
Vin blanc;Italie;Disponibilités;164063;160037;154604;151372;hl
Vin blanc;Italie;Stocks fin année;30597;34921;32084;34964;hl
Vin blanc;Italie;Consommation;133466;125116;122520;116408;hl
Vin blanc;France;Stocks début année;21588;19779;23461;21810;hl
Vin blanc;France;Importations;81337;87161;90001;76975;hl
Vin blanc;France;Disponibilités;102925;106940;113462;98785;hl
Vin blanc;France;Stocks fin année;19779;23461;21810;21118;hl
Vin blanc;France;Consommation;83146;83479;91652;77667;hl
Vin blanc;Espagne;Stocks début année;11926;9750;8678;8143;hl
Vin blanc;Espagne;Importations;65762;54169;72919;82474;hl
Vin blanc;Espagne;Disponibilités;77688;63919;81597;90617;hl
Vin blanc;Espagne;Stocks fin année;9750;8678;8143;8966;hl
Vin blanc;Espagne;Consommation;67938;55241;73454;81651;hl
Vin rouge;Italie;Stocks début année;170943;156035;151701;150263;hl
Vin rouge;Italie;Importations;492036;509634;515161;464103;hl
Vin rouge;Italie;Disponibilités;662979;665669;666862;614366;hl
Vin rouge;Italie;Stocks fin année;156035;151701;150263;161148;hl
Vin rouge;Italie;Consommation;506944;513968;516599;453218;hl
Vin rouge;France;Stocks début année;107272;94560;90532;98923;hl
Vin rouge;France;Importations;254039;262898;279364;254337;hl
Vin rouge;France;Disponibilités;361311;357458;369896;353260;hl
Vin rouge;France;Stocks fin année;94560;90532;98923;99965;hl
Vin rouge;France;Consommation;266751;266926;270973;253295;hl
Vin rouge;Espagne;Stocks début année;64682;58791;57990;57285;hl
Vin rouge;Espagne;Importations;194094;194927;193948;196399;hl
Vin rouge;Espagne;Disponibilités;258776;253718;251938;253684;hl
Vin rouge;Espagne;Stocks fin année;58791;57990;57285;64210;hl
Vin rouge;Espagne;Consommation;199985;195728;194653;189474;hl
