Section;Origine;Variable;2021;2022;2023;2024
Vin blanc;Italie;Stocks début année;34921;32084;34964;35200
Vin blanc;Italie;Importations;119683;119288;119351;121000
Vin blanc;Italie;Disponibilités;154604;151372;154315;156200
Vin blanc;Italie;Stocks fin année;32084;34964;33808;32000
Vin blanc;Italie;Consommation;122520;116408;120507;124200
Vin blanc;France;Stocks début année;23461;21810;21118;20900
Vin blanc;France;Importations;90001;76975;83165;82500
Vin blanc;France;Disponibilités;113462;98785;104283;103400
Vin blanc;France;Stocks fin année;21810;21118;24301;23000
Vin blanc;France;Consommation;91652;77667;79982;80400
Vin blanc;Espagne;Stocks début année;8678;8143;8966;8700
Vin blanc;Espagne;Importations;72919;82474;91254;91300
Vin blanc;Espagne;Disponibilités;81597;90617;100220;100000
Vin blanc;Espagne;Stocks fin année;8143;8966;11531;10400
Vin blanc;Espagne;Consommation;73454;81651;88689;89600
Vin rouge;Italie;Stocks début année;151701;150263;161148;160000
Vin rouge;Italie;Importations;515161;464103;434466;420000
Vin rouge;Italie;Disponibilités;666862;614366;595614;580000
Vin rouge;Italie;Stocks fin année;150263;161148;165029;158000
Vin rouge;Italie;Consommation;516599;453218;430585;422000
Vin rouge;France;Stocks début année;90532;98923;99965;97000
Vin rouge;France;Importations;279364;254337;237101;225000
Vin rouge;France;Disponibilités;369896;353260;337066;322000
Vin rouge;France;Stocks fin année;98923;99965;95247;90000
Vin rouge;France;Consommation;270973;253295;241819;232000
Vin rouge;Espagne;Stocks début année;57990;57285;64210;64000
Vin rouge;Espagne;Importations;193948;196399;181501;175000
Vin rouge;Espagne;Disponibilités;251938;253684;245711;239000
Vin rouge;Espagne;Stocks fin année;57285;64210;62338;61000
Vin rouge;Espagne;Consommation;194653;189474;183373;178000
