Section;Origine;Variable;2021;2022;2023;2024
Vin blanc;Suisse;Stocks début année*;753748;612681;677859;605421
Vin blanc;Suisse;Récolte sans jus de raisin;316224;498598;508941;380000
Vin blanc;Suisse;Disponibilités;1069972;1111279;1186800;985421
Vin blanc;Suisse;Stocks fin année*;612681;677859;740553;587800
Vin blanc;Suisse;Consommation;457291;433420;446247;397621
Vin blanc;Étranger;Stocks début année**;136272;126569;131197;125936
Vin blanc;Étranger;Importations;415061;407862;393834;406000
Vin blanc;Étranger;Disponibilités;551333;534431;525031;531936
Vin blanc;Étranger;Stocks fin année**;126569;131197;118235;125000
Vin blanc;Étranger;Consommation;424764;403234;406796;406936
Vin blanc;Total;Consommation totale de vin blanc;882055;836654;853043;803000
Vin rouge;Suisse;Stocks début année*;885264;732900;783205;745200
Vin rouge;Suisse;Récolte sans jus de raisin;292814;493727;500600;370000
Vin rouge;Suisse;Disponibilités;1178078;1226627;1283805;1115200
Vin rouge;Suisse;Stocks fin année*;732900;783205;819634;737000
Vin rouge;Suisse;Consommation;445178;443422;464171;377700
Vin rouge;Étranger;Stocks début année**;409910;402626;421639;415000
Vin rouge;Étranger;Importations;1216901;1110531;1027873;975000
Vin rouge;Étranger;Disponibilités;1626811;1513157;1449512;1390000
Vin rouge;Étranger;Stocks fin année**;402626;421639;407677;386000
Vin rouge;Étranger;Consommation;1224185;1091518;1041835;1004000
Vin rouge;Total;Consommation totale de vin rouge;1669363;1534940;1506006;1381000
Tous vins;Total;Consommation totale;2551418;2371594;2359049;2184000
Tous vins;Suisse;dont vin suisse;902469;876842;910418;774000
Tous vins;Étranger;dont vin étranger;1648949;1494752;1448631;1410000
