Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
ZH;36823;14237;39%;22585;61%
BE Thunersee;1133;615;54%;518;46%
LU;2074;1027;50%;1046;50%
UR+OW+NW;150;63;42%;87;58%
SZ;2710;1059;39%;1650;61%
GL;117;39;33%;78;67%
ZG;146;102;70%;43;30%
SO;437;164;38%;273;62%
BS;325;142;44%;183;56%
BL;6630;2210;33%;4421;67%
SH;30750;7251;24%;23499;76%
AR+AI;123;52;42%;71;58%
SG;10608;2746;26%;7862;74%
GR (Mescolina);25400;5322;21%;20078;79%
AG;23490;8432;36%;15058;64%
TG;12835;4549;35%;8286;65%
TI;58987;13245;22%;45742;78%
BE Lac de Bienne;15846;9578;60%;6268;40%
FR;9067;5891;65%;3176;35%
VD;290501;208360;72%;82141;28%
VS;452806;181115;40%;271691;60%
NE;36670;18168;50%;18502;50%
GE;94099;42008;45%;52091;55%
JU;556;272;49%;284;51%
