Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct;Diff_hl;Diff_pct
ZH;31424;13013;41%;18411;59%;-6584;-17.3%
BE Thunersee;1293;675;52%;618;48%;-9;-0.7%
LU;2195;1140;52%;1055;48%;-201;-8.4%
UR+OW+NW;145;45;31%;100;69%;-24;-14.2%
SZ;1488;497;33%;991;67%;367;32.7%
GL;75;23;31%;52;70%;-19;-20.2%
ZG;97;54;56%;43;44%;-2;-2.0%
SO;264;82;31%;182;69%;-180;-40.5%
BS;240;118;49%;122;51%;-113;-32.0%
BL;4403;1655;38%;2748;62%;-2951;-40.1%
SH;27730;7165;26%;20565;74%;1519;5.8%
AR+AI;148;67;45%;81;55%;-86;-36.8%
SG;8536;2268;27%;6268;73%;-2446;-22.3%
GR(-Mesolcina);22140;4884;22%;17256;78%;-1846;-7.7%
AG;16502;6225;38%;10277;62%;-4327;-20.8%
TG;13786;5435;39%;8351;61%;-3136;-18.5%
Deutschschweiz;130466;43346;33%;87120;67%;-20038;-13.3%
Mesolcina(GR);1436;63;4%;1373;96%;171;13.5%
TI2;55215;12330;22%;42885;78%;1266;2.3%
Svizzera italiana;56651;12393;22%;44258;78%;1437;2.6%
BE Lac de Bienne;12787;7741;61%;5046;39%;-2907;-18.5%
FR;7790;4960;64%;2830;36%;-913;-10.5%
VD;284992;207296;73%;77696;27%;-22030;-7.2%
VS;377047;158829;42%;218218;58%;-55810;-12.9%
NE;30316;14938;49%;15378;51%;-4200;-12.2%
GE3;103665;49272;48%;54393;52%;-11429;-9.9%
JU;151;60;40%;91;60%;-304;-66.8%
Suisse romande;816748;443096;54%;373652;46%;-97593;-10.7%
SCHWEIZ SUISSE;1003865;498835;50%;505030;50%;-116193;-10.4%
