Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;17820;5593;31%;12227;69%
AI+AR;26;7;27%;19;73%
BE (ohne Bielersee);470;147;31%;323;69%
BL;1248;389;31%;859;69%
BS;97;46;47%;51;53%
GL;44;13;30%;31;71%
GR (ohne Misox);20932;4614;22%;16318;78%
LU;1964;1085;55%;879;45%
SG;5516;1400;25%;4116;75%
SH;22483;5002;22%;17481;78%
SO;87;20;23%;67;77%
SZ;811;267;33%;544;67%
TG;10154;3200;32%;6954;68%
UR+OW+NW;158;49;31%;109;69%
ZG;64;34;53%;30;47%
ZH;20268;6844;34%;13424;66%
Deutschschweiz;102142;28710;28%;73432;72%
GR Mesolcina;948;59;6%;889;94%
TI*;45010;12253;27%;32759;73%
Svizzera italiana;45960;12312;27%;33648;73%
BE Lac de Bienne;10936;6013;55%;4923;45%
FR;4694;2597;55%;2097;45%
GE**;68861;31941;46%;36920;54%
JU;347;137;39%;210;61%
NE;28568;12253;43%;16405;57%
VD;267389;195662;73%;71727;27%
VS;262803;112445;43%;150358;57%
Suisse romande;643683;361804;56%;281880;44%
SCHWEIZ / SUISSE 2017;791790;402070;51%;389720;49%
