Canton;Total_hl;White_hl;White_pct;Red_hl;Red_pct
AG;17966;6175;34%;11791;66%
AI+AR;125;64;51%;61;49%
BE (sans Lac de Bienne);988;446;45%;542;55%
BL;5319;1892;36%;3427;64%
BS;249;130;52%;118;48%
GL;104;41;39%;63;61%
GR (sans Misox);20654;5995;29%;14659;71%
LU;3427;1968;57%;1459;43%
SG;8284;2824;34%;5459;66%
SH;32185;8281;26%;23904;74%
SO;350;122;35%;228;65%
SZ;1992;843;42%;1149;58%
TG;13710;5243;38%;8684;62%
UR+OW+NW;219;71;32%;148;68%
ZG;89;76;59%;53;41%
ZH;32796;13456;41%;19509;59%
Suisse alémanique;138881;47627;34%;91254;66%
GR Mesolcina;1067;50;5%;1017;95%
TI*;57664;16301;28%;41363;72%
Suisse italienne;59231;16351;28%;42880;72%
BE Lac de Bienne;12795;7299;57%;5496;43%
FR;6382;3877;61%;2505;39%
VD;278474;203305;73%;75169;27%
VS;386669;182054;47%;204615;53%
Suisse romande;518837;433553;55%;348280;45%
SUISSE 2019;979445;497531;51%;481914;49%
